352 272 52.0 
352 273 52.0 
352 274 52.0 
352 275 52.0 
352 276 52.0 
353 272 52.0 
353 273 52.0 
353 274 52.0 
353 275 52.0 
353 276 52.0 
354 272 52.0 
354 273 52.0 
354 274 52.0 
354 275 52.0 
354 276 52.0 
355 272 52.0 
355 273 52.0 
355 274 52.0 
355 275 52.0 
355 276 52.0 
356 272 52.0 
356 273 52.0 
356 274 52.0 
356 275 52.0 
356 276 52.0 
324 289 3.7295952571373605 24.0 
324 290 3.7295952571373605 24.0 
325 289 3.7295952571373605 24.0 
325 290 3.7295952571373605 24.0 
326 290 3.7295952571373605 24.0 
326 291 3.7295952571373605 24.0 
327 290 3.7295952571373605 24.0 
327 291 3.7295952571373605 24.0 
327 292 3.7295952571373605 24.0 
328 291 3.7295952571373605 24.0 
328 292 3.7295952571373605 24.0 
329 292 3.7295952571373605 24.0 
329 293 3.7295952571373605 24.0 
330 292 3.7295952571373605 24.0 
322 278 4.570491925780525 24.0 
322 279 4.570491925780525 24.0 
322 280 4.570491925780525 24.0 
322 281 4.570491925780525 24.0 
322 282 4.570491925780525 24.0 
322 283 4.570491925780525 24.0 
322 284 4.570491925780525 24.0 
322 285 4.570491925780525 24.0 
323 278 4.570491925780525 24.0 
323 279 4.570491925780525 24.0 
323 280 4.570491925780525 24.0 
323 281 4.570491925780525 24.0 
323 282 4.570491925780525 24.0 
323 283 4.570491925780525 24.0 
323 284 4.570491925780525 24.0 
323 285 4.570491925780525 24.0 
323 286 4.570491925780525 24.0 
323 287 4.570491925780525 24.0 
323 288 4.570491925780525 24.0 
323 289 4.570491925780525 24.0 
323 290 4.570491925780525 24.0 
323 291 4.570491925780525 24.0 
323 292 4.570491925780525 24.0 
324 285 4.570491925780525 24.0 
324 286 4.570491925780525 24.0 
324 287 4.570491925780525 24.0 
324 288 4.570491925780525 24.0 
324 289 4.570491925780525 24.0 
324 290 4.570491925780525 24.0 
324 291 4.570491925780525 24.0 
322 276 5.355890089177974 24.0 
323 274 5.355890089177974 24.0 
323 275 5.355890089177974 24.0 
323 276 5.355890089177974 24.0 
323 277 5.355890089177974 24.0 
324 273 5.355890089177974 24.0 
324 274 5.355890089177974 24.0 
324 275 5.355890089177974 24.0 
324 276 5.355890089177974 24.0 
325 272 5.355890089177974 24.0 
325 273 5.355890089177974 24.0 
325 274 5.355890089177974 24.0 
326 270 5.355890089177974 24.0 
326 271 5.355890089177974 24.0 
326 272 5.355890089177974 24.0 
326 273 5.355890089177974 24.0 
327 269 5.355890089177974 24.0 
327 270 5.355890089177974 24.0 
327 271 5.355890089177974 24.0 
327 272 5.355890089177974 24.0 
328 269 5.355890089177974 24.0 
328 270 5.355890089177974 24.0 
